GeneID	GeneSymbol	Alias
43	ACHE	ACEE|ARACHE|N-ACHE|YT
95	ACY1	ACY-1|ACY1D|HEL-S-5
104	ADARB1	ADAR2|DRABA2|DRADA2|RED1
141	ADPRH	ARH1
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1
185	AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R
196	AHR	bHLHe76
199	AIF1	AIF-1|IBA1|IRT-1|IRT1
231	AKR1B1	ADR|ALDR1|ALR2|AR
246	ALOX15	12-LOX|15-LOX-1|15LOX-1
247	ALOX15B	15-LOX-2
249	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP
268	AMH	MIF|MIS
274	BIN1	AMPH2|AMPHL|SH3P9
301	ANXA1	ANX1|LPC1
310	ANXA7	ANX7|SNX|SYNEXIN
317	APAF1	APAF-1|CED4
324	APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46
355	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6
375	ARF1	-
383	ARG1	-
387	RHOA	ARH12|ARHA|RHO12|RHOH12
388	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6
390	RND3	ARHE|Rho8|RhoE|memB
401	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A
406	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5
429	ASCL1	ASH1|HASH1|MASH1|bHLHa46
445	ASS1	ASS|CTLN1
463	ZFHX3	ATBF1|ATBT|ZNF927
467	ATF3	-
472	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1
545	ATR	FCTCS|FRP1|MEC1|SCKL|SCKL1
563	AZGP1	ZA2G|ZAG
580	BARD1	-
581	BAX	BCL2L4
613	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL
634	CEACAM1	BGP|BGP1|BGPI
638	BIK	BIP1|BP4|NBK
639	PRDM1	BLIMP1|PRDI-BF1
641	BLM	BS|RECQ2|RECQL2|RECQL3
650	BMP2	BDA2|BMP2A
652	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME
657	BMPR1A	10q23del|ACVRLK3|ALK3|CD292|SKR5
659	BMPR2	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK
665	BNIP3L	BNIP3a|NIX
668	FOXL2	BPES|BPES1|PFRK|PINTO|POF3
672	BRCA1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53
675	BRCA2	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11
678	ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D
688	KLF5	BTEB2|CKLF|IKLF
695	BTK	AGMX1|AT|ATK|BPK|IMD1|PSCTK1|XLA
822	CAPG	AFCP|HEL-S-66|MCP
835	CASP2	CASP-2|ICH1|NEDD-2|NEDD2|PPP1R57
838	CASP5	ICE(rel)III|ICEREL-III|ICH-3
841	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5
847	CAT	-
857	CAV1	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21
860	RUNX2	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA
861	RUNX1	AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB
863	CBFA2T3	ETO2|MTG16|MTGR2|ZMYND4
864	RUNX3	AML2|CBFA3|PEBP2aC
867	CBL	C-CBL|CBL2|FRA11B|NSLL|RNF55
889	KRIT1	CAM|CCM1
892	CCNC	CycC
920	CD4	CD4mut
960	CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1
999	CDH1	Arc-1|CD324|CDHE|ECAD|LCAM|UVO
1002	CDH4	CAD4|R-CAD|RCAD
1003	CDH5	7B4|CD144
1009	CDH11	CAD11|CDHOB|OB|OSF-4
1012	CDH13	CDHH|P105
1015	CDH17	CDH16|HPT-1|HPT1
1017	CDK2	CDKN2|p33(CDK2)
1021	CDK6	MCPH12|PLSTIRE
1026	CDKN1A	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1
1027	CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1
1028	CDKN1C	BWCR|BWS|KIP2|WBS|p57|p57Kip2
1029	CDKN2A	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16
1030	CDKN2B	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b
1031	CDKN2C	INK4C|p18|p18-INK4C
1036	CDO1	-
1045	CDX2	CDX-3|CDX2/AS|CDX3
1050	CEBPA	C/EBP-alpha|CEBP
1052	CEBPD	C/EBP-delta|CELF|CRP3|NF-IL6-beta
1080	CFTR	ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|dJ760C5.1
1105	CHD1	-
1111	CHEK1	CHK1
1147	CHUK	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16
1191	CLU	APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2
1264	CNN1	HEL-S-14|SMCC|Sm-Calp
1316	KLF6	BCD1|CBA1|COPEB|CPBP|GBF|PAC1|ST12|ZF9
1326	MAP3K8	COT|EST|ESTF|MEKK8|TPL2|Tpl-2|c-COT
1387	CREBBP	CBP|KAT3A|RSTS
1390	CREM	CREM-2|ICER|hCREM-2
1437	CSF2	GMCSF
1452	CSNK1A1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975
1473	CST5	-
1474	CST6	-
1490	CTGF	CCN2|HCS24|IGFBP8|NOV2
1496	CTNNA2	CAP-R|CAPR|CT114|CTNR
1500	CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)
1523	CUX1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75
1528	CYB5A	CYB5|MCB5
1540	CYLD	BRSS|CDMT|CYLD1|CYLDI|EAC|MFT|MFT1|SBS|TEM|USPL2
1601	DAB2	DOC-2|DOC2
1602	DACH1	DACH
1612	DAPK1	DAPK
1613	DAPK3	DLK|ZIP|ZIPK
1620	BRINP1	DBC1|DBCCR1|FAM5A
1630	DCC	CRC18|CRCR1|IGDCC1|MRMV1|NTN1R1
1634	DCN	CSCD|DSPG2|PG40|PGII|PGS2|SLRR1B
1643	DDB2	DDBB|UV-DDB2
1647	GADD45A	DDIT1|GADD45
1654	DDX3X	CAP-Rf|DBX|DDX14|DDX3|HLP2
1672	DEFB1	BD1|DEFB-1|DEFB101|HBD1
1676	DFFA	DFF-45|DFF1|ICAD
1687	DFNA5	ICERE-1
1739	DLG1	DLGH1|SAP-97|SAP97|dJ1061C18.1.1|hdlg
1755	DMBT1	GP340|muclin
1756	DMD	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85
1786	DNMT1	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT
1788	DNMT3A	DNMT3A2|M.HsaIIIA|TBRS
1789	DNMT3B	ICF|ICF1|M.HsaIIIB
1796	DOK1	P62DOK
1801	DPH1	DPH2L|DPH2L1|OVCA1
1803	DPP4	ADABP|ADCP2|CD26|DPPIV|TP103
1825	DSC3	CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP
1832	DSP	DCWHKTA|DP|DPI|DPII
1843	DUSP1	CL100|HVH1|MKP-1|MKP1|PTPN10
1847	DUSP5	DUSP|HVH3
1848	DUSP6	HH19|MKP3|PYST1
1852	DUSP9	MKP-4|MKP4
